,Week_Of,Mon,Tue,Wed,Thu,Fri
1137,2015 Mar-16 to Mar-20,2.68,2.82,2.80,2.86,2.86
1138,2015 Mar-23 to Mar-27,2.72,2.79,2.77,2.77,2.89
1139,,,,,,
1140,2015 Mar-30 to Apr- 3,2.64,2.65,2.62,2.63,
1141,2015 Apr- 6 to Apr-10,2.63,2.71,2.71,2.72,2.58
1142,2015 Apr-13 to Apr-17,2.58,2.58,2.62,2.61,2.67
1143,2015 Apr-20 to Apr-24,2.57,2.59,2.63,2.59,2.59
1144,2015 Apr-27 to May- 1,2.50,2.55,2.55,2.56,2.68
1145,,,,,,
1146,2015 May- 4 to May- 8,2.72,2.76,2.76,2.74,2.78
1147,2015 May-11 to May-15,2.85,2.85,2.85,2.87,2.96
1148,2015 May-18 to May-22,3.01,3.01,3.04,2.96,2.96
1149,2015 May-25 to May-29,,2.82,2.82,2.78,2.78
1150,2015 Jun- 1 to Jun- 5,2.78,2.63,2.65,2.60,2.60
1151,,,,,,
1152,2015 Jun- 8 to Jun-12,2.60,2.72,2.81,2.88,2.88
1153,2015 Jun-15 to Jun-19,2.89,2.94,2.93,2.93,2.81
1154,2015 Jun-22 to Jun-26,2.79,2.83,2.83,2.80,2.77
1155,2015 Jun-29 to Jul- 3,2.77,2.80,2.78,2.79,2.79
1156,2015 Jul- 6 to Jul-10,2.79,2.77,2.77,2.70,2.70
1157,,,,,,
1158,2015 Jul-13 to Jul-17,2.88,2.88,2.93,2.90,2.88
1159,2015 Jul-20 to Jul-24,2.88,2.84,2.84,2.92,2.92
1160,2015 Jul-27 to Jul-31,2.92,2.89,2.91,2.87,2.76
1161,2015 Aug- 3 to Aug- 7,2.76,2.83,2.85,2.76,2.76
1162,2015 Aug-10 to Aug-14,2.85,2.84,2.93,2.93,2.83
1163,,,,,,
1164,2015 Aug-17 to Aug-21,2.79,2.71,2.77,2.77,2.70
1165,2015 Aug-24 to Aug-28,2.65,2.71,2.73,2.69,2.69
1166,2015 Aug-31 to Sep- 4,2.70,2.70,2.70,2.67,2.67
1167,2015 Sep- 7 to Sep-11,2.67,2.74,2.74,2.71,2.67
1168,2015 Sep-14 to Sep-18,2.70,2.74,2.69,2.69,2.69
1169,,,,,,
1170,2015 Sep-21 to Sep-25,2.61,2.61,2.62,2.62,2.60
1171,2015 Sep-28 to Oct- 2,2.66,2.57,2.47,2.37,2.37
1172,2015 Oct- 5 to Oct- 9,2.34,2.35,2.35,2.35,2.49
1173,2015 Oct-12 to Oct-16,2.48,2.47,2.47,2.54,2.42
1174,2015 Oct-19 to Oct-23,2.43,2.46,2.37,2.37,2.28
1175,,,,,,
1176,2015 Oct-26 to Oct-30,2.18,2.14,2.14,2.15,1.98
1177,2015 Nov- 2 to Nov- 6,1.92,1.92,2.04,2.04,2.19
1178,2015 Nov- 9 to Nov-13,2.19,2.14,2.13,2.05,2.02
1179,2015 Nov-16 to Nov-20,2.02,2.05,2.10,2.10,2.18
1180,2015 Nov-23 to Nov-27,2.18,2.14,2.14,2.14,2.14
1181,,,,,,
1182,2015 Nov-30 to Dec- 4,2.11,2.11,2.19,2.14,2.10
1183,2015 Dec- 7 to Dec-11,2.06,2.01,2.00,1.95,1.79
1184,2015 Dec-14 to Dec-18,1.70,1.66,1.70,1.79,1.74
1185,2015 Dec-21 to Dec-25,1.76,1.73,1.63,1.63,1.63
1186,2015 Dec-28 to Jan- 1,2.11,2.39,2.28,2.28,2.28
1187,,,,,,
1188,2016 Jan- 4 to Jan- 8,2.39,2.33,2.37,2.35,2.47
1189,2016 Jan-11 to Jan-15,2.54,2.40,2.28,2.21,2.18
1190,2016 Jan-18 to Jan-22,2.18,2.23,2.18,2.22,2.21
1191,2016 Jan-25 to Jan-29,2.16,2.26,2.26,2.15,2.28
1192,2016 Feb- 1 to Feb- 5,2.28,2.07,2.06,2.07,2.08
1193,,,,,,
1194,2016 Feb- 8 to Feb-12,2.23,2.17,2.16,2.15,2.08
1195,2016 Feb-15 to Feb-19,2.08,1.95,1.93,1.89,1.83
1196,2016 Feb-22 to Feb-26,1.86,1.85,1.85,1.78,1.78
1197,2016 Feb-29 to Mar- 4,1.62,1.57,1.60,1.59,1.49
1198,2016 Mar- 7 to Mar-11,1.56,1.60,1.61,1.72,1.74
1199,,,,,,
1200,2016 Mar-14 to Mar-18,1.68,1.81,1.77,1.84,1.84
1201,2016 Mar-21 to Mar-25,1.79,1.79,1.79,1.78,1.78
1202,2016 Mar-28 to Apr- 1,1.78,1.77,1.87,1.98,1.88
1203,2016 Apr- 4 to Apr- 8,1.96,1.96,1.91,1.96,1.99
1204,2016 Apr-11 to Apr-15,1.90,1.97,2.01,1.93,1.71
1205,,,,,,
1206,2016 Apr-18 to Apr-22,1.76,1.94,1.94,1.96,1.92
1207,2016 Apr-25 to Apr-29,1.97,1.97,1.88,1.88,1.89
1208,2016 May- 2 to May- 6,1.91,1.94,2.03,2.05,1.86
1209,2016 May- 9 to May-13,2.01,2.01,2.01,2.01,1.96
1210,2016 May-16 to May-20,1.91,1.97,1.91,1.83,1.81
1211,,,,,,
1212,2016 May-23 to May-27,1.96,1.91,1.77,1.77,1.77
1213,2016 May-30 to Jun- 3,1.77,2.12,2.25,2.30,2.31
1214,2016 Jun- 6 to Jun-10,2.32,2.32,2.36,2.34,2.46
1215,2016 Jun-13 to Jun-17,2.55,2.55,2.62,2.62,2.59
1216,2016 Jun-20 to Jun-24,2.74,2.79,2.82,2.69,2.71
1217,,,,,,
1218,2016 Jun-27 to Jul- 1,2.79,2.89,2.94,2.94,2.89
1219,2016 Jul- 4 to Jul- 8,2.89,2.82,2.82,2.78,2.80
1220,2016 Jul-11 to Jul-15,2.88,2.88,2.81,2.79,2.70
1221,2016 Jul-18 to Jul-22,2.83,2.83,2.76,2.76,2.80
1222,2016 Jul-25 to Jul-29,2.80,2.84,2.84,2.79,2.97
1223,,,,,,
1224,2016 Aug- 1 to Aug- 5,2.97,2.79,2.89,2.89,2.88
1225,2016 Aug- 8 to Aug-12,2.85,2.85,2.76,2.70,2.70
1226,2016 Aug-15 to Aug-19,2.75,2.75,2.76,2.75,2.67
1227,2016 Aug-22 to Aug-26,2.75,2.75,2.82,2.89,2.91
1228,2016 Aug-29 to Sep- 2,2.97,2.95,2.95,2.95,2.88
1229,,,,,,
1230,2016 Sep- 5 to Sep- 9,2.88,2.88,2.77,2.88,2.93
1231,2016 Sep-12 to Sep-16,3.04,3.04,3.07,2.98,2.97
1232,2016 Sep-19 to Sep-23,3.00,3.12,3.19,3.18,3.06
1233,2016 Sep-26 to Sep-30,3.06,3.09,3.07,2.98,2.84
1234,2016 Oct- 3 to Oct- 7,2.84,2.83,2.83,3.04,3.02
1235,,,,,,
1236,2016 Oct-10 to Oct-14,3.18,3.17,3.17,3.16,3.18
1237,2016 Oct-17 to Oct-21,3.21,3.25,3.18,3.12,2.92
1238,2016 Oct-24 to Oct-28,2.78,2.69,2.69,2.72,2.72
1239,2016 Oct-31 to Nov- 4,2.85,2.53,2.53,2.41,2.20
1240,2016 Nov- 7 to Nov-11,2.37,2.34,2.22,2.08,2.08
1241,,,,,,
1242,2016 Nov-14 to Nov-18,2.26,2.49,2.49,2.37,2.60
1243,2016 Nov-21 to Nov-25,2.81,2.73,2.76,2.76,2.76
1244,2016 Nov-28 to Dec- 2,2.96,3.02,3.32,3.32,3.44
1245,2016 Dec- 5 to Dec- 9,3.44,3.75,3.80,3.68,3.75
1246,2016 Dec-12 to Dec-16,3.60,3.65,3.55,3.56,3.51
1247,,,,,,
1248,2016 Dec-19 to Dec-23,3.55,3.39,3.50,3.50,3.60
1249,2016 Dec-26 to Dec-30,3.60,3.70,3.70,3.71,3.71
1250,2017 Jan- 2 to Jan- 6,3.71,3.41,3.42,3.42,3.38
1251,2017 Jan- 9 to Jan-13,3.14,3.21,3.27,3.36,3.36
1252,2017 Jan-16 to Jan-20,3.36,3.37,3.26,3.25,3.23
1253,,,,,,
1254,2017 Jan-23 to Jan-27,3.16,3.16,3.26,3.44,3.31
1255,2017 Jan-30 to Feb- 3,3.22,3.00,3.15,3.13,3.13
1256,2017 Feb- 6 to Feb-10,2.92,3.03,3.05,3.11,3.11
1257,2017 Feb-13 to Feb-17,2.93,2.85,2.95,2.88,2.75
1258,2017 Feb-20 to Feb-24,2.75,2.56,2.52,2.63,2.63
1259,,,,,,
1260,2017 Feb-27 to Mar- 3,2.44,2.54,2.54,2.59,2.50
1261,2017 Mar- 6 to Mar-10,2.68,2.68,2.59,2.83,2.98
1262,2017 Mar-13 to Mar-17,3.04,3.02,3.02,2.84,2.85
1263,2017 Mar-20 to Mar-24,2.93,3.09,3.02,2.93,2.97
1264,2017 Mar-27 to Mar-31,2.94,2.95,3.03,3.08,3.13
1265,,,,,,
1266,2017 Apr- 3 to Apr- 7,3.13,3.06,3.22,3.23,3.23
1267,2017 Apr-10 to Apr-14,3.15,3.11,2.97,3.00,3.00
1268,2017 Apr-17 to Apr-21,3.09,3.11,3.11,3.13,3.06
1269,2017 Apr-24 to Apr-28,3.06,2.99,3.06,3.13,3.20
1270,2017 May- 1 to May- 5,3.20,3.13,3.14,3.11,3.10
1271,,,,,,
1272,2017 May- 8 to May-12,3.06,3.03,3.03,3.23,3.24
1273,2017 May-15 to May-19,3.26,3.27,3.27,3.13,3.11
1274,2017 May-22 to May-26,3.24,3.22,3.22,3.10,3.10
1275,2017 May-29 to Jun- 2,3.10,3.10,3.05,3.05,2.85
1276,2017 Jun- 5 to Jun- 9,2.92,2.92,3.06,2.98,3.03
1277,,,,,,
1278,2017 Jun-12 to Jun-16,3.12,3.12,2.95,2.94,3.01
1279,2017 Jun-19 to Jun-23,2.87,2.91,2.91,2.88,2.89
1280,2017 Jun-26 to Jun-30,2.98,2.99,3.03,3.07,2.98
1281,2017 Jul- 3 to Jul- 7,2.98,2.98,2.98,2.89,2.91
1282,2017 Jul-10 to Jul-14,2.92,2.98,3.01,2.96,2.94
1283,,,,,,
1284,2017 Jul-17 to Jul-21,3.04,3.11,3.11,3.12,3.06
1285,2017 Jul-24 to Jul-28,2.99,2.99,2.92,2.95,2.96
1286,2017 Jul-31 to Aug- 4,2.87,2.80,2.80,2.76,2.76
1287,2017 Aug- 7 to Aug-11,2.80,2.81,2.81,2.89,2.96
1288,2017 Aug-14 to Aug-18,3.02,2.96,2.94,2.91,2.90
1289,,,,,,
1290,2017 Aug-21 to Aug-25,3.00,3.00,2.94,2.97,2.93
1291,2017 Aug-28 to Sep- 1,2.95,2.95,2.95,2.92,2.88
1292,2017 Sep- 4 to Sep- 8,2.88,2.88,2.98,2.92,2.88
1293,2017 Sep-11 to Sep-15,2.88,2.88,3.02,3.03,3.00
1294,2017 Sep-18 to Sep-22,3.11,3.18,3.13,3.11,2.93
1295,,,,,,
1296,2017 Sep-25 to Sep-29,2.96,2.96,2.98,2.96,2.94
1297,2017 Oct- 2 to Oct- 6,2.94,2.73,2.80,2.80,2.93
1298,2017 Oct- 9 to Oct-13,2.87,2.89,2.89,2.95,2.99
1299,2017 Oct-16 to Oct-20,2.87,2.88,2.81,2.83,2.80
1300,2017 Oct-23 to Oct-27,2.95,2.95,2.98,2.91,2.78
1301,,,,,,
1302,2017 Oct-30 to Nov- 3,2.94,2.84,2.68,2.68,2.75
1303,2017 Nov- 6 to Nov-10,3.01,3.07,3.16,3.18,3.17
1304,2017 Nov-13 to Nov-17,3.13,3.06,3.16,3.09,3.04
1305,2017 Nov-20 to Nov-24,3.04,3.05,3.05,3.05,3.05
1306,2017 Nov-27 to Dec- 1,2.88,2.88,3.06,3.06,2.84
1307,,,,,,
1308,2017 Dec- 4 to Dec- 8,2.91,2.86,2.86,2.81,2.78
1309,2017 Dec-11 to Dec-15,2.81,2.87,2.87,2.69,2.60
1310,2017 Dec-18 to Dec-22,2.71,2.75,2.72,2.64,2.63
1311,2017 Dec-25 to Dec-29,,2.68,2.76,2.97,3.69
1312,2018 Jan- 1 to Jan- 5,,6.24,6.24,4.65,NA
1313,,,,,,
1314,2018 Jan- 8 to Jan-12,2.89,2.93,3.16,3.16,4.06
1315,2018 Jan-15 to Jan-19,,5.46,3.92,3.92,3.20
1316,2018 Jan-22 to Jan-26,3.13,3.35,3.54,3.54,3.58
1317,2018 Jan-29 to Feb- 2,3.60,3.60,3.34,3.06,2.91
1318,2018 Feb- 5 to Feb- 9,2.85,2.75,2.74,2.74,2.66
1319,,,,,,
1320,2018 Feb-12 to Feb-16,2.60,2.58,2.53,2.49,2.49
1321,2018 Feb-19 to Feb-23,,2.61,2.65,2.65,2.58
1322,2018 Feb-26 to Mar- 2,2.60,2.59,2.66,2.67,2.67
1323,2018 Mar- 5 to Mar- 9,2.70,2.70,2.80,2.80,2.71
1324,2018 Mar-12 to Mar-16,2.78,2.76,2.69,2.70,2.62
1325,,,,,,
1326,2018 Mar-19 to Mar-23,2.62,2.71,2.74,2.62,2.58
1327,2018 Mar-26 to Mar-30,2.63,2.60,2.64,2.81,
1328,2018 Apr- 2 to Apr- 6,2.75,2.75,2.81,2.81,2.81
1329,2018 Apr- 9 to Apr-13,2.78,2.78,2.74,2.76,2.82
1330,2018 Apr-16 to Apr-20,2.88,2.84,2.85,2.80,2.78
1331,,,,,,
1332,2018 Apr-23 to Apr-27,2.78,2.79,2.81,2.81,2.82
1333,2018 Apr-30 to May- 4,2.75,2.75,2.77,2.75,2.75
1334,2018 May- 7 to May-11,2.74,2.77,2.75,2.78,2.75
1335,2018 May-14 to May-18,2.84,2.83,2.85,2.75,2.75
1336,2018 May-21 to May-25,2.77,2.76,2.89,2.88,2.88
1337,,,,,,
1338,2018 May-28 to Jun- 1,,2.84,2.83,2.94,2.91
1339,2018 Jun- 4 to Jun- 8,2.89,2.89,2.89,3.02,2.91
1340,2018 Jun-11 to Jun-15,3.00,2.98,2.98,2.99,3.02
1341,2018 Jun-18 to Jun-22,2.99,2.95,2.96,3.08,2.95
1342,2018 Jun-25 to Jun-29,2.96,2.98,3.01,2.99,2.96
1343,,,,,,
1344,2018 Jul- 2 to Jul- 6,2.90,2.90,,2.91,2.91
1345,2018 Jul- 9 to Jul-13,2.90,2.90,2.89,2.89,2.86
1346,2018 Jul-16 to Jul-20,2.76,2.81,2.80,2.75,2.79
1347,2018 Jul-23 to Jul-27,2.79,2.73,2.82,2.82,2.78
1348,2018 Jul-30 to Aug- 3,2.75,2.82,2.80,2.77,2.86
1349,,,,,,
1350,2018 Aug- 6 to Aug-10,2.85,2.95,2.99,3.02,2.96
1351,2018 Aug-13 to Aug-17,2.92,3.02,3.02,3.02,3.01
1352,2018 Aug-20 to Aug-24,3.04,3.01,3.02,3.01,2.99
1353,2018 Aug-27 to Aug-31,2.98,2.98,2.96,2.96,2.98
1354,2018 Sep- 3 to Sep- 7,,2.96,3.00,2.93,2.88
1355,,,,,,
1356,2018 Sep-10 to Sep-14,2.90,2.94,2.98,2.94,2.91
1357,2018 Sep-17 to Sep-21,2.95,3.00,3.11,3.07,3.02
1358,2018 Sep-24 to Sep-28,3.04,3.12,3.10,3.05,3.01
1359,2018 Oct- 1 to Oct- 5,3.13,3.14,3.26,3.39,3.25
1360,2018 Oct- 8 to Oct-12,3.28,3.40,3.45,3.16,3.19
1361,,,,,,
1362,2018 Oct-15 to Oct-19,3.26,3.27,3.30,3.28,3.20
1363,2018 Oct-22 to Oct-26,3.20,3.28,3.42,3.42,3.27
1364,2018 Oct-29 to Nov- 2,3.20,3.27,3.31,3.36,3.26
1365,2018 Nov- 5 to Nov- 9,3.53,3.53,3.54,3.54,3.74
1366,2018 Nov-12 to Nov-16,3.96,4.10,4.10,4.69,4.30
1367,,,,,,
1368,2018 Nov-19 to Nov-23,4.65,4.65,4.70,,
1369,2018 Nov-26 to Nov-30,4.28,4.28,4.50,4.50,4.61
1370,2018 Dec- 3 to Dec- 7,4.40,4.40,4.69,4.44,4.51
1371,2018 Dec-10 to Dec-14,4.54,4.53,4.53,4.31,3.99
1372,2018 Dec-17 to Dec-21,3.80,3.80,3.64,3.70,3.70
1373,,,,,,
1374,2018 Dec-24 to Dec-28,,,3.42,3.10,3.25
1375,2018 Dec-31 to Jan- 4,,,3.25,2.72,2.80
1376,2019 Jan- 7 to Jan-11,2.74,2.89,2.92,2.95,2.95
1377,2019 Jan-14 to Jan-18,3.36,3.54,3.58,3.58,3.43
1378,2019 Jan-21 to Jan-25,,3.43,3.13,3.13,3.07
1379,,,,,,
1380,2019 Jan-28 to Feb- 1,3.05,2.94,3.00,2.82,2.70
1381,2019 Feb- 4 to Feb- 8,2.57,2.54,2.58,2.62,2.66
1382,2019 Feb-11 to Feb-15,2.76,2.71,2.61,2.61,2.59
1383,2019 Feb-18 to Feb-22,,2.69,2.69,2.73,2.74
1384,2019 Feb-25 to Mar- 1,2.84,2.74,2.89,2.89,3.19
1385,,,,,,
1386,2019 Mar- 4 to Mar- 8,4.25,3.18,3.18,2.90,2.90
1387,2019 Mar-11 to Mar-15,2.86,2.83,2.87,2.95,2.95
1388,2019 Mar-18 to Mar-22,2.90,2.92,2.86,2.86,2.75
1389,2019 Mar-25 to Mar-29,2.72,2.74,2.69,2.69,2.73
1390,2019 Apr- 1 to Apr- 5,2.73,2.76,2.74,2.66,2.62
1391,,,,,,
1392,2019 Apr- 8 to Apr-12,2.72,2.71,2.72,2.72,2.75
1393,2019 Apr-15 to Apr-19,2.75,2.66,2.55,2.54,
1394,2019 Apr-22 to Apr-26,2.61,2.53,2.53,2.54,2.58
1395,2019 Apr-29 to May- 3,2.58,2.59,2.59,2.63,2.59
1396,2019 May- 6 to May-10,2.54,2.54,2.64,2.62,2.64
1397,,,,,,
1398,2019 May-13 to May-17,2.71,2.70,2.69,2.62,2.61
1399,2019 May-20 to May-24,2.70,2.73,2.73,2.56,2.60
1400,2019 May-27 to May-31,,2.65,2.69,2.69,2.59
1401,2019 Jun- 3 to Jun- 7,2.50,2.45,2.45,2.40,2.43
1402,2019 Jun-10 to Jun-14,2.42,2.41,2.43,2.43,2.37
1403,,,,,,
1404,2019 Jun-17 to Jun-21,2.46,2.44,2.43,2.38,2.27
1405,2019 Jun-24 to Jun-28,2.31,2.31,2.34,2.32,2.42
1406,2019 Jul- 1 to Jul- 5,2.33,2.30,2.29,,
1407,2019 Jul- 8 to Jul-12,2.39,2.41,2.49,2.54,2.54
1408,2019 Jul-15 to Jul-19,2.53,2.53,2.44,2.38,2.30
1409,,,,,,
1410,2019 Jul-22 to Jul-26,2.33,2.34,2.33,2.26,2.23
1411,2019 Jul-29 to Aug- 2,2.23,2.22,2.28,2.36,2.12
1412,2019 Aug- 5 to Aug- 9,2.02,2.15,2.18,2.13,2.09
1413,2019 Aug-12 to Aug-16,2.21,2.24,2.22,2.19,2.20
1414,2019 Aug-19 to Aug-23,2.26,2.35,2.31,2.28,2.15
1415,,,,,,
1416,2019 Aug-26 to Aug-30,2.23,2.24,2.24,2.36,2.33
1417,2019 Sep- 2 to Sep- 6,,2.39,2.48,2.49,2.49
1418,2019 Sep- 9 to Sep-13,2.65,2.67,2.63,2.62,2.61
1419,2019 Sep-16 to Sep-20,2.75,2.70,2.72,2.65,2.34
1420,2019 Sep-23 to Sep-27,2.55,2.55,2.54,2.57,2.41
1421,,,,,,
1422,2019 Sep-30 to Oct- 4,2.37,2.36,2.36,2.31,2.25
1423,2019 Oct- 7 to Oct-11,2.36,2.29,2.26,2.26,2.13
1424,2019 Oct-14 to Oct-18,2.13,2.29,2.44,2.29,2.08
1425,2019 Oct-21 to Oct-25,2.13,2.21,2.34,2.33,2.26
1426,2019 Oct-28 to Nov- 1,2.49,2.61,2.71,2.73,2.54
1427,,,,,,
1428,2019 Nov- 4 to Nov- 8,2.77,2.77,2.82,2.84,2.87
1429,2019 Nov-11 to Nov-15,,2.72,2.66,2.68,2.70
1430,2019 Nov-18 to Nov-22,2.64,2.53,2.56,2.53,2.62
1431,2019 Nov-25 to Nov-29,2.51,2.51,2.46,,2.46
1432,2019 Dec- 2 to Dec- 6,2.29,2.42,2.43,2.42,2.31
1433,,,,,,
1434,2019 Dec- 9 to Dec-13,2.17,2.18,2.28,2.28,2.28
1435,2019 Dec-16 to Dec-20,2.34,2.30,2.26,2.21,2.27
1436,2019 Dec-23 to Dec-27,2.17,2.11,,2.09,1.75
1437,2019 Dec-30 to Jan- 3,2.06,2.09,,2.05,2.06
1438,2020 Jan- 6 to Jan-10,2.10,2.17,2.09,2.05,2.05
1439,,,,,,
1440,2020 Jan-13 to Jan-17,2.03,2.15,2.01,2.06,2.07
1441,2020 Jan-20 to Jan-24,,1.98,1.89,1.95,1.91
1442,2020 Jan-27 to Jan-31,2.03,1.96,1.93,1.94,1.91
1443,2020 Feb- 3 to Feb- 7,1.90,1.89,1.89,1.86,1.93
1444,2020 Feb-10 to Feb-14,1.85,1.85,1.91,1.95,1.93
1445,,,,,,
1446,2020 Feb-17 to Feb-21,,2.04,2.01,1.98,1.96
1447,2020 Feb-24 to Feb-28,1.94,1.93,1.96,1.78,1.79
1448,2020 Mar- 2 to Mar- 6,1.75,1.78,1.83,1.89,1.76
1449,2020 Mar- 9 to Mar-13,1.74,1.91,1.96,1.82,1.94
1450,2020 Mar-16 to Mar-20,1.89,1.89,1.73,1.68,1.76
1451,,,,,,
1452,2020 Mar-23 to Mar-27,1.70,1.73,1.80,1.73,1.70
1453,2020 Mar-30 to Apr- 3,1.65,1.71,1.69,1.55,1.50
1454,2020 Apr- 6 to Apr-10,1.64,1.83,1.86,1.74,
1455,2020 Apr-13 to Apr-17,1.86,1.76,1.68,1.59,1.71
1456,2020 Apr-20 to Apr-24,1.78,1.92,1.90,1.86,1.81
1457,,,,,,
1458,2020 Apr-27 to May- 1,1.68,1.80,1.73,1.63,1.69
1459,2020 May- 4 to May- 8,1.78,1.93,1.90,1.84,1.74
1460,2020 May-11 to May-15,1.70,1.61,1.56,1.60,1.66
1461,2020 May-18 to May-22,1.77,1.85,1.83,1.75,1.70
1462,2020 May-25 to May-29,,1.79,1.78,1.79,1.70
1463,,,,,,
1464,2020 Jun- 1 to Jun- 5,1.59,1.58,1.84,1.68,1.80
1465,2020 Jun- 8 to Jun-12,1.68,1.68,1.72,1.77,1.67
1466,2020 Jun-15 to Jun-19,1.64,1.43,1.55,1.51,1.49
1467,2020 Jun-22 to Jun-26,1.64,1.61,1.64,1.53,1.42
1468,2020 Jun-29 to Jul- 3,1.67,1.76,1.69,,
1469,,,,,,
1470,2020 Jul- 6 to Jul-10,1.71,1.76,1.78,1.88,1.79
1471,2020 Jul-13 to Jul-17,1.75,1.74,1.76,1.79,1.79
1472,2020 Jul-20 to Jul-24,1.71,1.66,1.69,1.75,1.77
1473,2020 Jul-27 to Jul-31,1.85,1.83,1.77,1.81,1.83
1474,2020 Aug- 3 to Aug- 7,1.95,2.07,2.23,2.26,2.15
1475,,,,,,
1476,2020 Aug-10 to Aug-14,2.18,2.19,2.05,2.19,2.23
1477,2020 Aug-17 to Aug-21,2.32,2.45,2.43,2.35,2.39
1478,2020 Aug-24 to Aug-28,2.57,2.54,2.52,2.52,2.46
1479,2020 Aug-31 to Sep- 4,2.30,2.22,2.15,2.32,1.80
1480,2020 Sep- 7 to Sep-11,,2.35,2.21,2.13,1.93
1481,,,,,,
1482,2020 Sep-14 to Sep-18,2.18,2.19,2.06,1.65,1.56
1483,2020 Sep-21 to Sep-25,1.33,1.49,1.74,1.93,1.90
1484,2020 Sep-28 to Oct- 2,1.83,1.74,1.66,1.60,1.41
1485,2020 Oct- 5 to Oct- 9,1.92,1.86,2.01,1.49,2.25
1486,2020 Oct-12 to Oct-16,2.31,2.14,2.02,2.23,2.16
1487,,,,,,
1488,2020 Oct-19 to Oct-23,2.30,2.57,2.95,2.99,2.91
1489,2020 Oct-26 to Oct-30,3.14,3.07,3.14,3.06,3.03
1490,2020 Nov- 2 to Nov- 6,3.03,2.88,2.63,2.69,2.67
1491,2020 Nov- 9 to Nov-13,2.63,2.74,2.75,2.81,2.82
1492,2020 Nov-16 to Nov-20,2.62,2.55,2.37,2.19,2.22
1493,,,,,,
1494,2020 Nov-23 to Nov-27,2.23,2.47,2.47,,
1495,2020 Nov-30 to Dec- 4,2.89,2.89,2.75,2.46,2.48
1496,2020 Dec- 7 to Dec-11,2.39,2.36,2.45,2.45,2.54
1497,2020 Dec-14 to Dec-18,2.69,2.63,2.73,2.70,2.73
1498,2020 Dec-21 to Dec-25,2.68,2.76,2.76,2.68,
1499,,,,,,
1500,2020 Dec-28 to Jan- 1,2.39,2.40,2.36,,
1501,2021 Jan- 4 to Jan- 8,2.60,2.77,2.76,2.81,2.77
1502,2021 Jan-11 to Jan-15,2.71,2.89,2.82,2.82,2.86
1503,2021 Jan-18 to Jan-22,,2.65,2.57,2.49,2.45
1504,2021 Jan-25 to Jan-29,2.63,2.73,2.77,2.76,2.68
1505,,,,,,
1506,2021 Feb- 1 to Feb- 5,2.88,3.24,3.01,2.99,3.49
1507,2021 Feb- 8 to Feb-12,3.40,3.35,3.76,6.50,6.12
1508,2021 Feb-15 to Feb-19,,11.32,23.86,,
